Center X,Center Y,Area
59.71232876712329,257.90410958904107,73
59.38211382113821,36.00813008130081,123
60.644067796610166,111.09322033898304,118
61.239583333333336,185.26041666666666,96
62.77777777777778,329.1111111111111,36
63.2,404.2,10
64.0,476.7142857142857,7
65.66666666666667,545.8888888888889,9
124.0,543.6,15
127.0,116.55555555555556,9
127.75,190.5,8
127.44444444444444,261.6666666666667,9
122.88888888888889,473.6666666666667,9
122.875,400.875,8
128.9090909090909,41.63636363636363,11
182.7076923076923,472.0153846153846,65
184.575,114.5,40
183.54545454545453,187.45454545454547,44
184.8,258.73846153846154,65
183.14285714285714,329.60714285714283,56
185.47619047619048,397.12698412698415,63
184.92105263157896,539.7763157894736,76
185.45652173913044,40.82608695652174,46
250.03030303030303,188.53787878787878,132
250.45,259.7857142857143,140
251.68926553672316,42.51412429378531,177
251.25179856115108,115.58273381294964,139
250.22727272727272,328.2121212121212,132
250.90384615384616,396.94871794871796,156
251.83908045977012,467.9310344827586,174
251.9685534591195,537.1006289308176,159
318.0,260.668085106383,235
315.1111111111111,328.85858585858585,198
319.05,189.35384615384615,260
313.6308724832215,396.67785234899327,149
314.10526315789474,465.89473684210526,114
313.0853658536585,534.5243902439024,82
319.22709163346616,45.701195219123505,251
320.30514705882354,118.01102941176471,272
